,total_points,was_home,kickoff_time,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,name,cost,position,team,GW,match_result,opponent,last_season_position,opponent_last_season_position,percent_value,position rank,goals_scored_ex,assists_ex,total_points_ex,minutes_ex,goals_conceded_ex,creativity_ex,influence_ex,threat_ex,bonus_ex,bps_ex,ict_index_ex,clean_sheets_ex,red_cards_ex,yellow_cards_ex,selected_by_percent_ex,now_cost_ex,element_type_ex,season,mean assists 3,mean bonus 3,mean bps 3,mean clean_sheets 3,mean creativity 3,mean goals_conceded 3,mean goals_scored 3,mean ict_index 3,mean influence 3,mean minutes 3,mean own_goals 3,mean penalties_missed 3,mean penalties_saved 3,mean red_cards 3,mean saves 3,mean selected 3,mean threat 3,mean total_points 3,mean transfers_in 3,mean transfers_out 3,mean value 3,mean match_result 3,std bps 3,std creativity 3,std ict_index 3,std influence 3,std minutes 3,std selected 3,std threat 3,std total_points 3,std transfers_in 3,std transfers_out 3,std value 3
135,0.0,False,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-1441.0,4093.0,0.0,1441.0,Aaron Connolly,45.0,FWD,Brighton,3,3.0,Newcastle,6,4,2.701080432172869,4,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4857.0,0.0,0.0,0.0,720.5,45.0,3.0,0.0,0.0,0.0,0.0,0.0,764.0,0.0,0.0,0.0,720.5,0.0
621,0.0,True,2023-08-20T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-11945.0,79839.0,1715.0,13660.0,Aaron Cresswell,44.0,DEF,West Ham,3,3.0,Luton,14,20,3.4482758620689653,0,0.0,1.0,74.0,2235.0,32.0,632.9,411.6,81.0,8.0,439.0,113.0,6.0,0.0,3.0,1.5,47.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82661.0,0.0,0.0,857.5,6830.0,45.0,2.0,0.0,0.0,0.0,0.0,0.0,2822.0,0.0,0.0,857.5,6830.0,0.0
113,5.0,False,2023-08-19T14:00:00Z,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,0.0,1.5,0.0,0.2,45,-611.0,28443.0,1516.0,2127.0,Aaron Hickey,45.0,DEF,Brentford,3,3.0,Bournemouth,9,15,2.8938906752411575,1,0.0,3.0,63.0,1918.0,30.0,119.8,223.6,98.0,2.0,310.0,44.2,5.0,0.0,7.0,0.3,49.0,,2023-24,0.0,0.0,11.0,0.5,6.15,1.0,0.0,1.4000000000000001,5.5,74.0,0.0,0.0,0.0,0.0,0.0,27420.5,2.0,2.5,758.0,1063.5,45.0,2.0,4.0,4.65,1.2000000000000002,5.5,3.0,1022.5,2.0,2.5,758.0,1063.5,0.0
16,6.0,False,2023-08-21T19:00:00Z,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,25.0,15.4,0.0,0.0,1.5,50,-46452.0,1625661.0,45504.0,91956.0,Aaron Ramsdale,50.0,GKP,Arsenal,3,3.0,Man Utd,2,3,2.718868950516585,0,0.0,0.0,143.0,3420.0,43.0,0.0,761.4,0.0,9.0,664.0,76.2,14.0,0.0,1.0,11.4,48.0,,2023-24,0.0,0.0,17.5,0.5,0.0,0.5,0.0,1.4,14.0,90.0,0.0,0.0,0.0,0.0,1.5,1567838.5,0.0,4.0,22752.0,45978.0,50.0,3.0,7.5,0.0,0.09999999999999998,1.4000000000000004,0.0,57822.5,0.0,2.0,22752.0,45978.0,0.0
458,1.0,False,2023-08-19T16:30:00Z,65.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,5.8,12.2,2.0,2.0,45,159885.0,382753.0,174411.0,14526.0,Aaron Wan-Bissaka,46.0,DEF,Man Utd,3,0.0,Arsenal,3,2,2.406417112299465,4,0.0,0.0,67.0,1432.0,10.0,221.9,290.4,143.0,3.0,308.0,65.5,8.0,0.0,2.0,1.8,43.0,,2023-24,0.5,1.5,25.5,0.5,22.950000000000003,0.5,0.0,5.1,24.099999999999998,77.5,0.0,0.0,0.0,0.0,0.0,252395.0,4.0,6.5,87205.5,7263.0,45.0,1.5,14.5,10.750000000000002,3.0999999999999996,18.3,12.5,130358.0,2.0,5.5,87205.5,7263.0,0.0
275,2.0,False,2023-08-20T13:00:00Z,90.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6,15.0,8.0,2.4,55,-952.0,21324.0,1981.0,2933.0,Abdoulaye Doucouré,55.0,MID,Everton,3,0.0,Sheffield Utd,17,20,3.7187288708586883,0,5.0,2.0,76.0,1527.0,27.0,261.2,315.8,229.0,10.0,263.0,80.3,4.0,1.0,6.0,0.2,53.0,,2023-24,0.0,0.0,4.5,0.0,24.7,2.5,0.0,4.6,4.7,90.0,0.0,0.0,0.0,0.0,0.0,19922.5,16.5,2.0,990.5,1466.5,55.0,0.0,2.5,9.7,2.2,4.1000000000000005,0.0,1401.5,8.5,0.0,990.5,1466.5,0.0
207,0.0,False,2023-08-20T15:30:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-107.0,432.0,0.0,107.0,Abdul Rahman Baba,40.0,DEF,Chelsea,3,0.0,Nott'm Forest,12,16,1.924001924001924,11,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.5,0.0,0.0,0.0,53.5,40.0,0.5,0.0,0.0,0.0,0.0,0.0,54.5,0.0,0.0,0.0,53.5,0.0
554,0.0,False,2023-08-18T18:45:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,-390.0,18946.0,719.0,1109.0,Adam Davies,40.0,GKP,Sheffield Utd,3,0.0,Everton,20,17,2.7027027027027026,1,,,,,,,,,,,,,,,,,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18078.0,0.0,0.0,359.5,554.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,868.0,0.0,0.0,359.5,554.5,0.0
146,1.0,False,2023-08-19T14:00:00Z,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.2,11.7,2.0,1.7,50,-1889.0,4810.0,44.0,1933.0,Adam Lallana,49.0,MID,Brighton,3,3.0,Newcastle,6,4,3.0012004801920766,4,2.0,1.0,47.0,717.0,10.0,186.7,144.2,152.0,4.0,146.0,48.5,5.0,0.0,0.0,0.1,48.0,,2023-24,0.0,0.0,2.0,0.0,5.85,0.0,0.0,0.85,1.6,4.5,0.0,0.0,0.0,0.0,0.0,5698.5,1.0,0.5,22.0,966.5,50.0,3.0,2.0,5.85,0.85,1.6,4.5,888.5,1.0,0.5,22.0,966.5,0.0
88,0.0,False,2023-08-19T14:00:00Z,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,-729.0,1990.0,44.0,773.0,Adam Smith,44.0,DEF,Bournemouth,3,0.0,Brentford,15,9,2.8846153846153846,0,0.0,1.0,74.0,2940.0,58.0,261.6,406.2,88.0,5.0,400.0,75.7,7.0,0.0,11.0,0.2,43.0,,2023-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2337.5,0.0,0.0,22.0,386.5,45.0,0.5,0.0,0.0,0.0,0.0,0.0,347.5,0.0,0.0,22.0,386.5,0.0
