,element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,id,name,cost,position,home_team,away_team,team_x
0,1,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-4744,63768,4959,9703,1,Folarin Balogun,44,FWD,Crystal Palace,Arsenal,Arsenal
1,2,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2650,34540,1902,4552,2,Cédric Alves Soares,40,DEF,Crystal Palace,Arsenal,Arsenal
2,3,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3499,7526,123,3622,3,Mohamed Elneny,44,MID,Crystal Palace,Arsenal,Arsenal
3,4,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-1917,10260,468,2385,4,Fábio Ferreira Vieira,54,MID,Crystal Palace,Arsenal,Arsenal
4,5,12,Crystal Palace,1,False,2023-08-21T19:00:00Z,0,1,2,20,0,0,0,0,0,0,0,0,0,0,0,5,13.0,0.0,0.0,1.3,0,0.00,0.00,0.00,0.73,50,-223848,2639445,61796,285644,5,Gabriel dos Santos Magalhães,48,DEF,Crystal Palace,Arsenal,Arsenal
5,6,12,Crystal Palace,2,False,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,13.8,6.0,1.9,1,0.02,0.05,0.07,1.06,75,-63530,377081,8492,72022,6,Kai Havertz,73,MID,Crystal Palace,Arsenal,Arsenal
6,7,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-2062,16470,946,3008,7,Rob Holding,44,DEF,Crystal Palace,Arsenal,Arsenal
7,8,12,Crystal Palace,0,False,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,79,-83981,128916,3233,87214,8,Gabriel Fernando de Jesus,79,FWD,Crystal Palace,Arsenal,Arsenal
8,9,12,Crystal Palace,1,False,2023-08-21T19:00:00Z,0,1,2,11,0,0,0,0,0,0,0,0,0,0,0,5,3.6,0.6,0.0,0.4,0,0.00,0.01,0.01,0.59,55,-1903,19464,1215,3118,9,Jorge Luiz Frello Filho,54,MID,Crystal Palace,Arsenal,Arsenal
9,10,12,Crystal Palace,1,False,2023-08-21T19:00:00Z,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.2,0.0,0.1,0,0.00,0.00,0.00,0.26,45,-1391,9267,233,1624,10,Jakub Kiwior,44,DEF,Crystal Palace,Arsenal,Arsenal
