index,name,team,points,value
Trent Alexander-Arnold2023-09-16T11:30:00Z,Trent Alexander-Arnold,Liverpool,6.65970173774385,79
Kieran Trippier2023-09-16T16:30:00Z,Kieran Trippier,Newcastle,5.170406174536353,65
Andrew Robertson2023-09-16T11:30:00Z,Andrew Robertson,Liverpool,4.734156114751576,65
Gabriel dos Santos Magalhães2023-09-17T15:30:00Z,Gabriel dos Santos Magalhães,Arsenal,4.585147766200482,48
James Tarkowski2023-09-17T15:30:00Z,James Tarkowski,Everton,4.578567794177311,44
Cristian Romero2023-09-16T14:00:00Z,Cristian Romero,Spurs,4.380434643855283,47
Serge Aurier2023-09-18T18:45:00Z,Serge Aurier,Nott'm Forest,4.281312197618497,45
Ben Chilwell2023-09-17T13:00:00Z,Ben Chilwell,Chelsea,4.216494831007915,58
Kyle Walker2023-09-16T14:00:00Z,Kyle Walker,Man City,4.180817402780045,52
Rúben Gato Alves Dias2023-09-16T14:00:00Z,Rúben Gato Alves Dias,Man City,4.1318685926373675,55
Destiny Udogie2023-09-16T14:00:00Z,Destiny Udogie,Spurs,4.1170488283093265,47
Pedro Porro2023-09-16T14:00:00Z,Pedro Porro,Spurs,4.115867093544383,50
Micky van de Ven2023-09-16T14:00:00Z,Micky van de Ven,Spurs,4.1014873576698445,45
Benjamin White2023-09-17T15:30:00Z,Benjamin White,Arsenal,4.066259755136017,55
Joel Matip2023-09-16T11:30:00Z,Joel Matip,Liverpool,3.9519784584296813,49
William Saliba2023-09-17T15:30:00Z,William Saliba,Arsenal,3.936226034698368,52
Nathan Aké2023-09-16T14:00:00Z,Nathan Aké,Man City,3.8760730588266172,51
Manuel Akanji2023-09-16T14:00:00Z,Manuel Akanji,Man City,3.7807491811149165,51
Ben Davies2023-09-16T14:00:00Z,Ben Davies,Spurs,3.778225233501065,44
Matty Cash2023-09-16T14:00:00Z,Matty Cash,Aston Villa,3.7428989622931055,47
Willy Boly2023-09-18T18:45:00Z,Willy Boly,Nott'm Forest,3.7112235462924494,45
Lucas Digne2023-09-16T14:00:00Z,Lucas Digne,Aston Villa,3.683575998590155,45
Virgil van Dijk2023-09-16T11:30:00Z,Virgil van Dijk,Liverpool,3.6764596949234085,60
Timothy Castagne2023-09-16T14:00:00Z,Timothy Castagne,Fulham,3.629738753799018,45
Joško Gvardiol2023-09-16T14:00:00Z,Joško Gvardiol,Man City,3.62074495993446,51
Pau Torres2023-09-16T14:00:00Z,Pau Torres,Aston Villa,3.6198893520828,45
Fodé Ballo-Touré2023-09-16T14:00:00Z,Fodé Ballo-Touré,Fulham,3.580100133544674,45
Ivan Perišić2023-09-16T14:00:00Z,Ivan Perišić,Spurs,3.5608210338610893,49
Ezri Konsa Ngoyo2023-09-16T14:00:00Z,Ezri Konsa Ngoyo,Aston Villa,3.5360471491389416,45
Antonee Robinson2023-09-16T14:00:00Z,Antonee Robinson,Fulham,3.507483152036018,45
Clément Lenglet2023-09-16T14:00:00Z,Clément Lenglet,Aston Villa,3.49778524125232,45
Issa Diop2023-09-16T14:00:00Z,Issa Diop,Fulham,3.453298393136964,45
Kenny Tete2023-09-16T14:00:00Z,Kenny Tete,Fulham,3.436080951998504,45
Ibrahima Konaté2023-09-16T11:30:00Z,Ibrahima Konaté,Liverpool,3.4231421763221728,49
Joe Worrall2023-09-18T18:45:00Z,Joe Worrall,Nott'm Forest,3.387085535123231,45
Fabian Schär2023-09-16T16:30:00Z,Fabian Schär,Newcastle,3.311753868058026,50
Axel Disasi2023-09-17T13:00:00Z,Axel Disasi,Chelsea,3.3040783967772653,51
Tim Ream2023-09-16T14:00:00Z,Tim Ream,Fulham,3.299883016636665,45
Joe Gomez2023-09-16T11:30:00Z,Joe Gomez,Liverpool,3.2919364771149064,45
Scott McKenna2023-09-18T18:45:00Z,Scott McKenna,Nott'm Forest,3.262551282686126,45
Malo Gusto2023-09-17T13:00:00Z,Malo Gusto,Chelsea,3.2484430272621316,42
Dan Burn2023-09-16T16:30:00Z,Dan Burn,Newcastle,3.225552561202779,45
Sven Botman2023-09-16T16:30:00Z,Sven Botman,Newcastle,3.1957766641011642,45
Thiago Emiliano da Silva2023-09-17T13:00:00Z,Thiago Emiliano da Silva,Chelsea,3.0052559405971393,50
Murillo Santiago Costa dos Santos2023-09-18T18:45:00Z,Murillo Santiago Costa dos Santos,Nott'm Forest,2.987134340314848,45
Gonzalo Montiel2023-09-18T18:45:00Z,Gonzalo Montiel,Nott'm Forest,2.987134340314848,45
Andrew Omobamidele2023-09-18T18:45:00Z,Andrew Omobamidele,Nott'm Forest,2.987134340314848,45
Neco Williams2023-09-18T18:45:00Z,Neco Williams,Nott'm Forest,2.9571274572399227,45
Oleksandr Zinchenko2023-09-17T15:30:00Z,Oleksandr Zinchenko,Arsenal,2.896919675538274,49
Levi Colwill2023-09-17T13:00:00Z,Levi Colwill,Chelsea,2.8618792845147296,45
Diego Carlos Santos Silva2023-09-16T14:00:00Z,Diego Carlos Santos Silva,Aston Villa,2.822215351974695,45
Marcos Senesi2023-09-17T13:00:00Z,Marcos Senesi,Bournemouth,2.6908063329975205,44
Tyrick Mitchell2023-09-16T14:00:00Z,Tyrick Mitchell,Crystal Palace,2.593080019261488,45
Pervis Estupiñán2023-09-16T14:00:00Z,Pervis Estupiñán,Brighton,2.552235412875417,53
Max Kilman2023-09-16T11:30:00Z,Max Kilman,Wolves,2.5485002732895157,45
Joachim Andersen2023-09-16T14:00:00Z,Joachim Andersen,Crystal Palace,2.533288484860005,46
Marc Guéhi2023-09-16T14:00:00Z,Marc Guéhi,Crystal Palace,2.5315732316087107,45
Milos Kerkez2023-09-17T13:00:00Z,Milos Kerkez,Bournemouth,2.4975652548985634,45
Joel Ward2023-09-16T14:00:00Z,Joel Ward,Crystal Palace,2.476826587592307,45
Max Aarons2023-09-17T13:00:00Z,Max Aarons,Bournemouth,2.4651648915406854,45
Issa Kaboré2023-09-16T14:00:00Z,Issa Kaboré,Luton,2.4148350025482967,40
Illia Zabarnyi2023-09-17T13:00:00Z,Illia Zabarnyi,Bournemouth,2.3228858225627933,45
Jack Robinson2023-09-16T14:00:00Z,Jack Robinson,Sheffield Utd,2.3032610276964864,45
Yasser Larouci2023-09-16T14:00:00Z,Yasser Larouci,Sheffield Utd,2.1847696201400573,44
Reece Burke2023-09-16T14:00:00Z,Reece Burke,Luton,2.148977416781286,40
Anel Ahmedhodžić2023-09-16T14:00:00Z,Anel Ahmedhodžić,Sheffield Utd,2.1457418411956235,45
Nayef Aguerd2023-09-16T14:00:00Z,Nayef Aguerd,West Ham,2.1430236839505863,45
John Egan2023-09-16T14:00:00Z,John Egan,Sheffield Utd,2.1236223311972426,45
Raphaël Varane2023-09-16T14:00:00Z,Raphaël Varane,Man Utd,2.1191670560061184,50
Mads Juel Andersen2023-09-16T14:00:00Z,Mads Juel Andersen,Luton,2.0681254326939453,40
Lisandro Martínez2023-09-16T14:00:00Z,Lisandro Martínez,Man Utd,2.040146383801858,49
Ameen Al-Dakhil2023-09-18T18:45:00Z,Ameen Al-Dakhil,Burnley,2.0386231492293367,40
Kurt Zouma2023-09-16T14:00:00Z,Kurt Zouma,West Ham,1.9954477896759484,45
Dara O'Shea2023-09-18T18:45:00Z,Dara O'Shea,Burnley,1.961062770520553,45
Connor Roberts2023-09-18T18:45:00Z,Connor Roberts,Burnley,1.9509389121564655,45
Chris Basham2023-09-16T14:00:00Z,Chris Basham,Sheffield Utd,1.946800498556455,40
Tom Lockyer2023-09-16T14:00:00Z,Tom Lockyer,Luton,1.927793371241283,44
Ryan Giles2023-09-16T14:00:00Z,Ryan Giles,Luton,1.9219577727891424,45
Nélson Cabral Semedo2023-09-16T11:30:00Z,Nélson Cabral Semedo,Wolves,1.870863985077488,45
Lewis Dunk2023-09-16T14:00:00Z,Lewis Dunk,Brighton,1.8621681032995254,50
Santiago Bueno2023-09-16T11:30:00Z,Santiago Bueno,Wolves,1.8621493003638578,45
Amari'i Bell2023-09-16T14:00:00Z,Amari'i Bell,Luton,1.860433363987257,40
Ben Mee2023-09-16T16:30:00Z,Ben Mee,Brentford,1.8395149413724163,49
Alfie Doughty2023-09-16T14:00:00Z,Alfie Doughty,Luton,1.836466131402156,44
Nathan Patterson2023-09-17T15:30:00Z,Nathan Patterson,Everton,1.8142089442912828,45
Ashley Young2023-09-17T15:30:00Z,Ashley Young,Everton,1.807616280877568,45
Emerson Palmieri dos Santos2023-09-16T14:00:00Z,Emerson Palmieri dos Santos,West Ham,1.8067164037716625,45
Luke Shaw2023-09-16T14:00:00Z,Luke Shaw,Man Utd,1.7908625282702806,53
Craig Dawson2023-09-16T11:30:00Z,Craig Dawson,Wolves,1.7452864229154257,45
Rayan Aït-Nouri2023-09-16T11:30:00Z,Rayan Aït-Nouri,Wolves,1.7331673648601393,45
Ethan Pinnock2023-09-16T16:30:00Z,Ethan Pinnock,Brentford,1.6927964272764964,45
Diogo Dalot Teixeira2023-09-16T14:00:00Z,Diogo Dalot Teixeira,Man Utd,1.6881432082670738,49
Michael Keane2023-09-17T15:30:00Z,Michael Keane,Everton,1.6852173411547577,44
Vladimír Coufal2023-09-16T14:00:00Z,Vladimír Coufal,West Ham,1.6437294672872262,45
Aaron Wan-Bissaka2023-09-16T14:00:00Z,Aaron Wan-Bissaka,Man Utd,1.5769598778030502,46
Konstantinos Mavropanos2023-09-16T14:00:00Z,Konstantinos Mavropanos,West Ham,1.574535623842104,45
Rico Henry2023-09-16T16:30:00Z,Rico Henry,Brentford,1.4811745539889363,46
Kristoffer Ajer2023-09-16T16:30:00Z,Kristoffer Ajer,Brentford,1.249415082483556,45
Joël Veltman2023-09-16T14:00:00Z,Joël Veltman,Brighton,1.1797559029314577,44
Nathan Collins2023-09-16T16:30:00Z,Nathan Collins,Brentford,1.1528501010423058,45
Adam Webster2023-09-16T14:00:00Z,Adam Webster,Brighton,1.0569689231959765,44
Aaron Hickey2023-09-16T16:30:00Z,Aaron Hickey,Brentford,1.045130342448048,45
