index,name,team,points,value
Erling Haaland2023-09-16T14:00:00Z,Erling Haaland,Man City,6.220080331293293,141
Evan Ferguson2023-09-16T14:00:00Z,Evan Ferguson,Brighton,4.772391906429631,60
Julián Álvarez2023-09-16T14:00:00Z,Julián Álvarez,Man City,4.547482123606225,67
Cameron Archer2023-09-16T14:00:00Z,Cameron Archer,Sheffield Utd,4.126238604442265,45
Taiwo Awoniyi2023-09-18T18:45:00Z,Taiwo Awoniyi,Nott'm Forest,4.10510361378309,66
Ollie Watkins2023-09-16T14:00:00Z,Ollie Watkins,Aston Villa,3.760505674766753,80
Gabriel Fernando de Jesus2023-09-17T15:30:00Z,Gabriel Fernando de Jesus,Arsenal,3.750369349668954,79
Dominic Solanke2023-09-17T13:00:00Z,Dominic Solanke,Bournemouth,3.6843714625380874,65
Yoane Wissa2023-09-16T16:30:00Z,Yoane Wissa,Brentford,3.680347676007263,62
Chris Wood2023-09-18T18:45:00Z,Chris Wood,Nott'm Forest,3.3077762992735367,50
Eddie Nketiah2023-09-17T15:30:00Z,Eddie Nketiah,Arsenal,3.2818644396815695,56
Callum Wilson2023-09-16T16:30:00Z,Callum Wilson,Newcastle,3.2347742016994014,78
Michail Antonio2023-09-16T14:00:00Z,Michail Antonio,West Ham,3.1636608824592587,61
Lyle Foster2023-09-18T18:45:00Z,Lyle Foster,Burnley,3.100776984437916,50
Matheus Santos Carneiro Da Cunha2023-09-16T11:30:00Z,Matheus Santos Carneiro Da Cunha,Wolves,3.0773245219296115,55
Antoine Semenyo2023-09-17T13:00:00Z,Antoine Semenyo,Bournemouth,3.034443055895942,45
Odsonne Edouard2023-09-16T14:00:00Z,Odsonne Edouard,Crystal Palace,3.025104422677039,55
Nicolas Jackson2023-09-17T13:00:00Z,Nicolas Jackson,Chelsea,2.9547438933068326,72
Oliver McBurnie2023-09-16T14:00:00Z,Oliver McBurnie,Sheffield Utd,2.892712933099012,54
Raúl Jiménez2023-09-16T14:00:00Z,Raúl Jiménez,Fulham,2.862270755876291,54
Darwin Núñez Ribeiro2023-09-16T11:30:00Z,Darwin Núñez Ribeiro,Liverpool,2.8513369387444,74
Norberto Bercique Gomes Betuncal2023-09-17T15:30:00Z,Norberto Bercique Gomes Betuncal,Everton,2.8177402846089676,60
Jhon Durán2023-09-16T14:00:00Z,Jhon Durán,Aston Villa,2.8141692843114905,50
Alexander Isak2023-09-16T16:30:00Z,Alexander Isak,Newcastle,2.705092170052171,77
Carlton Morris2023-09-16T14:00:00Z,Carlton Morris,Luton,2.669267582413736,55
Cody Gakpo2023-09-16T11:30:00Z,Cody Gakpo,Liverpool,2.5258966696895486,73
Anthony Martial2023-09-16T14:00:00Z,Anthony Martial,Man Utd,2.5187945936210703,65
João Pedro Junqueira de Jesus2023-09-16T14:00:00Z,João Pedro Junqueira de Jesus,Brighton,2.4971954796833735,55
Fábio Silva2023-09-16T11:30:00Z,Fábio Silva,Wolves,2.461330252962044,54
Danny Welbeck2023-09-16T14:00:00Z,Danny Welbeck,Brighton,2.4037838032465477,58
Zeki Amdouni2023-09-18T18:45:00Z,Zeki Amdouni,Burnley,2.3117960926007477,55
Dominic Calvert-Lewin2023-09-17T15:30:00Z,Dominic Calvert-Lewin,Everton,2.297450586343987,58
Chiedozie Ogbene2023-09-16T14:00:00Z,Chiedozie Ogbene,Luton,2.076369907385687,49
Rasmus Højlund2023-09-16T14:00:00Z,Rasmus Højlund,Man Utd,2.072420345992872,70
Elijah Adebayo2023-09-16T14:00:00Z,Elijah Adebayo,Luton,2.069025618958054,49
Bénie Traoré2023-09-16T14:00:00Z,Bénie Traoré,Sheffield Utd,2.0445802794241605,55
Kieffer Moore2023-09-17T13:00:00Z,Kieffer Moore,Bournemouth,1.9720961860502983,49
Jacob Brown2023-09-16T14:00:00Z,Jacob Brown,Luton,1.646099599597733,50
