index,name,team,points,value
Mohamed Salah2023-09-16T11:30:00Z,Mohamed Salah,Liverpool,7.021811593498347,125
Solly March2023-09-16T14:00:00Z,Solly March,Brighton,6.152238752603792,66
Bryan Mbeumo2023-09-16T16:30:00Z,Bryan Mbeumo,Brentford,6.123380056987473,68
Martin Ødegaard2023-09-17T15:30:00Z,Martin Ødegaard,Arsenal,5.547645273802695,85
Marcus Rashford2023-09-16T14:00:00Z,Marcus Rashford,Man Utd,5.357579104695027,89
Bukayo Saka2023-09-17T15:30:00Z,Bukayo Saka,Arsenal,5.114537938458787,87
Son Heung-min2023-09-16T14:00:00Z,Son Heung-min,Spurs,5.04433335048338,91
Gabriel Martinelli Silva2023-09-17T15:30:00Z,Gabriel Martinelli Silva,Arsenal,4.980721615762386,79
James Ward-Prowse2023-09-16T14:00:00Z,James Ward-Prowse,West Ham,4.898063418516026,61
Diogo Teixeira da Silva2023-09-16T11:30:00Z,Diogo Teixeira da Silva,Liverpool,4.845522736511922,80
James Maddison2023-09-16T14:00:00Z,James Maddison,Spurs,4.675983391320275,78
Kaoru Mitoma2023-09-16T14:00:00Z,Kaoru Mitoma,Brighton,4.613233212199553,65
Phil Foden2023-09-16T14:00:00Z,Phil Foden,Man City,4.579788668297873,76
Richarlison de Andrade2023-09-16T14:00:00Z,Richarlison de Andrade,Spurs,4.550978156071046,68
Eberechi Eze2023-09-16T14:00:00Z,Eberechi Eze,Crystal Palace,4.525390037155244,63
Dejan Kulusevski2023-09-16T14:00:00Z,Dejan Kulusevski,Spurs,4.397564726718479,70
Jarrod Bowen2023-09-16T14:00:00Z,Jarrod Bowen,West Ham,4.316093582475189,71
Kai Havertz2023-09-17T15:30:00Z,Kai Havertz,Arsenal,4.2781226393070995,73
Raheem Sterling2023-09-17T13:00:00Z,Raheem Sterling,Chelsea,4.250819237359661,72
Moussa Diaby2023-09-16T14:00:00Z,Moussa Diaby,Aston Villa,4.183543067418604,66
Pape Matar Sarr2023-09-16T14:00:00Z,Pape Matar Sarr,Spurs,4.183212931444129,46
Bruno Borges Fernandes2023-09-16T14:00:00Z,Bruno Borges Fernandes,Man Utd,4.0968299472225524,84
Luis Díaz2023-09-16T11:30:00Z,Luis Díaz,Liverpool,4.063072170314998,77
Leon Bailey2023-09-16T14:00:00Z,Leon Bailey,Aston Villa,4.045103786237815,55
Dominik Szoboszlai2023-09-16T11:30:00Z,Dominik Szoboszlai,Liverpool,3.891278473669354,70
Morgan Gibbs-White2023-09-18T18:45:00Z,Morgan Gibbs-White,Nott'm Forest,3.653417545857623,59
Pascal Groß2023-09-16T14:00:00Z,Pascal Groß,Brighton,3.6515472908252353,64
Jack Grealish2023-09-16T14:00:00Z,Jack Grealish,Man City,3.644792860918155,73
Mason Mount2023-09-16T14:00:00Z,Mason Mount,Man Utd,3.5588867544853633,68
Harry Wilson2023-09-16T14:00:00Z,Harry Wilson,Fulham,3.524786045914711,54
Abdoulaye Doucouré2023-09-17T15:30:00Z,Abdoulaye Doucouré,Everton,3.463339839743392,55
Mathias Jensen2023-09-16T16:30:00Z,Mathias Jensen,Brentford,3.4594244468279616,54
Julio Enciso2023-09-16T14:00:00Z,Julio Enciso,Brighton,3.454221781364395,53
John McGinn2023-09-16T14:00:00Z,John McGinn,Aston Villa,3.4476940244099716,55
Pedro Lomba Neto2023-09-16T11:30:00Z,Pedro Lomba Neto,Wolves,3.4419570069917307,55
Declan Rice2023-09-17T15:30:00Z,Declan Rice,Arsenal,3.4400376324290147,54
Douglas Luiz Soares de Paulo2023-09-16T14:00:00Z,Douglas Luiz Soares de Paulo,Aston Villa,3.4339972327521395,54
Miguel Almirón Rejala2023-09-16T16:30:00Z,Miguel Almirón Rejala,Newcastle,3.414987720802349,63
Mykhailo Mudryk2023-09-17T13:00:00Z,Mykhailo Mudryk,Chelsea,3.330332346768317,64
Jérémy Doku2023-09-16T14:00:00Z,Jérémy Doku,Man City,3.3274723076800017,65
Mohammed Kudus2023-09-16T14:00:00Z,Mohammed Kudus,West Ham,3.3248713154489793,65
Anthony Elanga2023-09-18T18:45:00Z,Anthony Elanga,Nott'm Forest,3.2785415238525606,50
Manor Solomon2023-09-16T14:00:00Z,Manor Solomon,Spurs,3.2660506765597503,53
Arnaut Danjuma Groeneveld2023-09-17T15:30:00Z,Arnaut Danjuma Groeneveld,Everton,3.2626251488541813,55
Jadon Sancho2023-09-16T14:00:00Z,Jadon Sancho,Man Utd,3.2038019374911086,68
Harvey Barnes2023-09-16T16:30:00Z,Harvey Barnes,Newcastle,3.181663257260431,64
Alex Iwobi2023-09-16T14:00:00Z,Alex Iwobi,Fulham,3.172493007774463,54
Lucas Tolentino Coelho de Lima2023-09-16T14:00:00Z,Lucas Tolentino Coelho de Lima,West Ham,3.167208477931555,60
Alexis Mac Allister2023-09-16T11:30:00Z,Alexis Mac Allister,Liverpool,3.123072207881848,60
Anssumane Fati Vieira2023-09-16T14:00:00Z,Anssumane Fati Vieira,Brighton,3.0767497970218525,65
Hwang Hee-chan2023-09-16T11:30:00Z,Hwang Hee-chan,Wolves,3.060294134567149,54
Enzo Fernández2023-09-17T13:00:00Z,Enzo Fernández,Chelsea,3.046317721858204,50
Alejandro Garnacho2023-09-16T14:00:00Z,Alejandro Garnacho,Man Utd,3.004184853419475,49
Thomas Partey2023-09-17T15:30:00Z,Thomas Partey,Arsenal,2.998842466364989,49
Antony Matheus dos Santos2023-09-16T14:00:00Z,Antony Matheus dos Santos,Man Utd,2.9784862865539448,68
Harrison Reed2023-09-16T14:00:00Z,Harrison Reed,Fulham,2.977955905047085,48
Joelinton Cássio Apolinário de Lira2023-09-16T16:30:00Z,Joelinton Cássio Apolinário de Lira,Newcastle,2.972195461822718,59
Bobby De Cordova-Reid2023-09-16T14:00:00Z,Bobby De Cordova-Reid,Fulham,2.913618022768373,55
Andreas Hoelgebaum Pereira2023-09-16T14:00:00Z,Andreas Hoelgebaum Pereira,Fulham,2.9100935533507033,55
Jefferson Lerma Solís2023-09-16T14:00:00Z,Jefferson Lerma Solís,Crystal Palace,2.9082335442320226,49
Mike Trésor2023-09-18T18:45:00Z,Mike Trésor,Burnley,2.8931710584045285,55
Rodrigo Hernandez2023-09-16T14:00:00Z,Rodrigo Hernandez,Man City,2.8871460686683847,57
Brennan Johnson2023-09-16T14:00:00Z,Brennan Johnson,Spurs,2.8840512338536684,59
Moisés Caicedo Corozo2023-09-17T13:00:00Z,Moisés Caicedo Corozo,Chelsea,2.8467020866169555,49
Carlos Henrique Casimiro2023-09-16T14:00:00Z,Carlos Henrique Casimiro,Man Utd,2.832256296168964,54
Conor Gallagher2023-09-17T13:00:00Z,Conor Gallagher,Chelsea,2.824431835062621,55
Billy Gilmour2023-09-16T14:00:00Z,Billy Gilmour,Brighton,2.816058262305591,49
Jeffrey Schlupp2023-09-16T14:00:00Z,Jeffrey Schlupp,Crystal Palace,2.788070238350806,49
Philip Billing2023-09-17T13:00:00Z,Philip Billing,Bournemouth,2.7682015952029997,53
Jordan Ayew2023-09-16T14:00:00Z,Jordan Ayew,Crystal Palace,2.7640784627071735,55
Danilo dos Santos de Oliveira2023-09-18T18:45:00Z,Danilo dos Santos de Oliveira,Nott'm Forest,2.7351005665688053,54
Pierre-Emile Højbjerg2023-09-16T14:00:00Z,Pierre-Emile Højbjerg,Spurs,2.7299618034590165,53
Christian Nørgaard2023-09-16T16:30:00Z,Christian Nørgaard,Brentford,2.727554505305518,55
Carney Chukwuemeka2023-09-17T13:00:00Z,Carney Chukwuemeka,Chelsea,2.726478732452509,44
Jóhann Berg Gudmundsson2023-09-18T18:45:00Z,Jóhann Berg Gudmundsson,Burnley,2.7070110640023732,49
Luis Sinisterra2023-09-17T13:00:00Z,Luis Sinisterra,Bournemouth,2.685427156482751,55
Yves Bissouma2023-09-16T14:00:00Z,Yves Bissouma,Spurs,2.6597155790168356,50
Bruno Guimarães Rodriguez Moura2023-09-16T16:30:00Z,Bruno Guimarães Rodriguez Moura,Newcastle,2.658226255558054,58
Nicolò Zaniolo2023-09-16T14:00:00Z,Nicolò Zaniolo,Aston Villa,2.62956993966706,55
Christian Eriksen2023-09-16T14:00:00Z,Christian Eriksen,Man Utd,2.5844105920840175,59
Pablo Sarabia2023-09-16T11:30:00Z,Pablo Sarabia,Wolves,2.5795509344342973,50
Saïd Benrahma2023-09-16T14:00:00Z,Saïd Benrahma,West Ham,2.5793930302533497,59
Sandro Tonali2023-09-16T16:30:00Z,Sandro Tonali,Newcastle,2.5388619662538296,55
Nicolás Domínguez2023-09-18T18:45:00Z,Nicolás Domínguez,Nott'm Forest,2.5300747588695978,50
Ibrahim Sangaré2023-09-18T18:45:00Z,Ibrahim Sangaré,Nott'm Forest,2.5300747588695978,50
Matheus Luiz Nunes2023-09-16T14:00:00Z,Matheus Luiz Nunes,Man City,2.5125405302443986,50
Anthony Gordon2023-09-16T16:30:00Z,Anthony Gordon,Newcastle,2.5011850968247544,55
Wilson Odobert2023-09-18T18:45:00Z,Wilson Odobert,Burnley,2.4973050030274524,50
Aaron Ramsey2023-09-18T18:45:00Z,Aaron Ramsey,Burnley,2.4973050030274524,50
Han-Noah Massengo2023-09-18T18:45:00Z,Han-Noah Massengo,Burnley,2.4973050030274524,50
David Brooks2023-09-17T13:00:00Z,David Brooks,Bournemouth,2.4657050188530496,49
Oliver Norwood2023-09-16T14:00:00Z,Oliver Norwood,Sheffield Utd,2.4481149348315907,50
Marvelous Nakamba2023-09-16T14:00:00Z,Marvelous Nakamba,Luton,2.4314142341125953,44
Saša Lukić2023-09-16T14:00:00Z,Saša Lukić,Fulham,2.4306281252352178,45
Vini de Souza Costa2023-09-16T14:00:00Z,Vini de Souza Costa,Sheffield Utd,2.4219609604659436,50
Orel Mangala2023-09-18T18:45:00Z,Orel Mangala,Nott'm Forest,2.4168756558454976,50
Ryan Christie2023-09-17T13:00:00Z,Ryan Christie,Bournemouth,2.3939326143973543,50
Kevin Schade2023-09-16T16:30:00Z,Kevin Schade,Brentford,2.3847124371158523,54
Amadou Onana2023-09-17T15:30:00Z,Amadou Onana,Everton,2.377995671747335,49
Ross Barkley2023-09-16T14:00:00Z,Ross Barkley,Luton,2.3778776588235373,50
Tomáš Souček2023-09-16T14:00:00Z,Tomáš Souček,West Ham,2.370022556242719,49
Justin Kluivert2023-09-17T13:00:00Z,Justin Kluivert,Bournemouth,2.366965745431921,48
Mario Lemina2023-09-16T11:30:00Z,Mario Lemina,Wolves,2.366810977674985,50
Wataru Endo2023-09-16T11:30:00Z,Wataru Endo,Liverpool,2.359539215379971,55
Idrissa Gueye2023-09-17T15:30:00Z,Idrissa Gueye,Everton,2.3540928219141444,49
Cheick Doucouré2023-09-16T14:00:00Z,Cheick Doucouré,Crystal Palace,2.330561845190555,50
James Garner2023-09-17T15:30:00Z,James Garner,Everton,2.32435276149231,50
Vitaly Janelt2023-09-16T16:30:00Z,Vitaly Janelt,Brentford,2.322492748105324,54
Fábio Ferreira Vieira2023-09-17T15:30:00Z,Fábio Ferreira Vieira,Arsenal,2.3027311062186167,54
Josh Cullen2023-09-18T18:45:00Z,Josh Cullen,Burnley,2.279881042252597,50
Luca Koleosho2023-09-18T18:45:00Z,Luca Koleosho,Burnley,2.2752178899767084,50
Gustavo Hamer2023-09-16T14:00:00Z,Gustavo Hamer,Sheffield Utd,2.2738666356123334,50
Mateo Kovačić2023-09-16T14:00:00Z,Mateo Kovačić,Man City,2.2694181306744095,49
Ryan Yates2023-09-18T18:45:00Z,Ryan Yates,Nott'm Forest,2.246788323532404,49
Sean Longstaff2023-09-16T16:30:00Z,Sean Longstaff,Newcastle,2.238341883997371,49
Sander Berge2023-09-18T18:45:00Z,Sander Berge,Burnley,2.2350712017524277,49
Dwight McNeil2023-09-17T15:30:00Z,Dwight McNeil,Everton,2.233437674088535,54
Boubacar Kamara2023-09-16T14:00:00Z,Boubacar Kamara,Aston Villa,2.224796611970775,50
João Victor Gomes da Silva2023-09-16T11:30:00Z,João Victor Gomes da Silva,Wolves,2.2081215660256936,50
Tyler Adams2023-09-17T13:00:00Z,Tyler Adams,Bournemouth,2.1956948533302802,50
Tahith Chong2023-09-16T14:00:00Z,Tahith Chong,Luton,2.1731382159374872,50
Ben Osborn2023-09-16T14:00:00Z,Ben Osborn,Sheffield Utd,2.1651025385186005,49
James Milner2023-09-16T14:00:00Z,James Milner,Brighton,2.1566357796630475,49
Enso González2023-09-16T11:30:00Z,Enso González,Wolves,2.1382039584394312,50
Jean-Ricner Bellegarde2023-09-16T11:30:00Z,Jean-Ricner Bellegarde,Wolves,2.1382039584394312,50
Manuel Benson Hedilazio2023-09-18T18:45:00Z,Manuel Benson Hedilazio,Burnley,2.131275625260009,53
Willian Borges da Silva2023-09-16T14:00:00Z,Willian Borges da Silva,Fulham,2.1206419434089034,53
Joe Rothwell2023-09-17T13:00:00Z,Joe Rothwell,Bournemouth,2.1050003959370214,49
Marcus Tavernier2023-09-17T13:00:00Z,Marcus Tavernier,Bournemouth,2.0795879673741524,54
Noni Madueke2023-09-17T13:00:00Z,Noni Madueke,Chelsea,2.077035563094123,54
Adama Traoré2023-09-16T14:00:00Z,Adama Traoré,Fulham,2.074375708055072,50
Edson Álvarez Velázquez2023-09-16T14:00:00Z,Edson Álvarez Velázquez,West Ham,2.06064459705901,50
Elliot Anderson2023-09-16T16:30:00Z,Elliot Anderson,Newcastle,2.0286019097441854,44
Youri Tielemans2023-09-16T14:00:00Z,Youri Tielemans,Aston Villa,1.9907990117366374,58
Pelly Ruddock Mpanzu2023-09-16T14:00:00Z,Pelly Ruddock Mpanzu,Luton,1.871308901101191,49
Pablo Fornals Malla2023-09-16T14:00:00Z,Pablo Fornals Malla,West Ham,1.654852131611358,49
Harvey Elliott2023-09-16T11:30:00Z,Harvey Elliott,Liverpool,1.636178512370381,49
Mahmoud Dahoud2023-09-16T14:00:00Z,Mahmoud Dahoud,Brighton,1.618361545776016,49
